Filename,Tempo (BPM),Clock Density (Onsets/Sec),Beat Density (Beats/Sec),Onsets per Beat,Pitch SD,Pitch Mean,Pitch Median,Pitch Entropy,Intervallic Variability
PARKER'S MOOD Charlie Parker All Stars with Miles Davis 1948 JAZZ!!.wav,303.99816176470586,3.608009057499675,2.4931118487381294,1.447191011235955,3.643949416078491,4.914285714285715,5.0,3.057016588002658,5.2373591432942375
Charlie Parker - Don't Blame Me (transcription).wav,271.9983552631579,2.403246431858748,2.2441273758681004,1.0709046454767726,2.6907248094147422,6.4,7.0,3.189822782008756,3.7497315266596067
Charlie Parker Quartet - The Gypsy.wav,198.76802884615384,1.8500833383612887,1.517484086521057,1.2191780821917808,3.155789641985474,5.3090909090909095,5.0,3.1929666419834217,4.48626160738276
Charlie Parker Septet - Moose The Mooche - 1946.wav,215.33203125,3.735514881609143,1.4703133605349639,2.540625,2.700477694225383,4.372549019607843,5.0,2.9246264949550014,4.091014544095389
Charlie Parker's All Stars - Milestones - 1947.wav,322.998046875,2.9534009447116083,2.2163956087817533,1.3325242718446602,3.5971319001745363,5.517241379310345,6.0,3.003690046478698,5.763515615047639
"Charlie Parker All Stars ＂Cheryl＂ (1947) Miles Davis, Bud Powell,Tommy Potter, Max Roach.wav",178.20581896551724,4.533304785837437,1.4466819170394745,3.133587786259542,3.86724133660618,5.666666666666667,7.0,3.266563255193326,5.2853643325270925
"Charlie Parker on Bongo Bop 2 - October 28, 1947.wav",156.60511363636363,4.684570123068302,1.244692544776602,3.7636363636363637,3.327561323230812,5.529411764705882,5.0,3.0130709291038453,4.340488883754916
The Only Bebop Solo You NEED to Know ｜ Charlie Parker - Cherokee solo Transcription (1943).wav,246.09375,5.127743930529991,2.036768547256423,2.5175879396984926,3.366143040314651,6.659574468085107,8.0,2.9685931098407448,4.774944451819143
Charlie Parker Septet ＂Yardbird Suite＂ (1946) on Dial 1003 with Miles Davis & pianist Dodo Marmarosa.wav,206.71875,3.9204882823992597,1.6681733809062753,2.3501683501683504,2.896656519626571,4.96078431372549,5.0,3.0234168165690414,4.3954521951671826
"Charlie Parker on Bird of Paradise 1 - October 28, 1947.wav",234.90767045454547,3.468349398787638,1.8656464275067077,1.8590604026845639,3.2708428116332184,4.666666666666667,4.0,3.141619208183979,4.8270073544588685
Charlie Parker and Dizzy Gillespie - Hot House - 1951 - LIVE!.wav,184.5703125,2.401033544286213,1.5068292924522035,1.5934343434343434,3.1343842332048086,5.965116279069767,6.0,3.379600761804757,4.40295591179899
Charlie Parker Quartet - I Remember You.wav,198.76802884615384,4.640167699675273,1.5433043951406158,3.006644518272425,3.582048908120224,5.472727272727273,6.0,2.8371885239021424,5.567918343298562
Charlie Parker's New Stars： Stupendous (Hollywood 1947).wav,234.90767045454547,4.799757446659644,1.9027609877829301,2.5225225225225225,3.5123012869881354,5.568181818181818,5.5,3.2044517125077494,5.531364916245218
Charlie Parker quintet - Lover Man (1951).wav,258.3984375,2.200370794379824,2.008423554870095,1.0955710955710956,3.7267137080447155,4.022222222222222,3.0,3.106114286634314,5.630266129963563
"Charlie Parker on Embraceable You 2 - October 28, 1947.wav",143.5546875,3.596394124122011,1.144307221311549,3.142857142857143,2.9438465719002562,5.145833333333333,5.0,3.0855040971406655,4.338860794298915
"Charlie Parker on Donna Lee IV - May 8, 1947.wav",224.69429347826087,5.541702275914847,1.812215436199642,3.0579710144927534,2.9539166512896804,4.190476190476191,5.0,3.0230370655328813,3.5843409436045564
Charlie Parker on Slam Slam Blues take 2.wav,344.53125,3.4177948182528053,2.8374145660966685,1.2045454545454546,3.265986323710904,6.666666666666667,6.0,2.5032583347756456,4.123105625617661
The Bud Powell Trio 　A.wav,322.998046875,3.908956006048661,2.6702862174165443,1.463871543264942,3.3682435701211024,5.3852813852813854,5.0,3.291875476336633,4.72070610847264
SALT PEANUTS by Dizzy Gillespie with Charlie Parker 1945 JAZZ!.wav,206.71875,3.8729821497609325,1.7166158912757075,2.256172839506173,3.3882310634561206,4.962962962962963,6.0,3.327228540500491,4.639821751771984
"Charlie Parker ＂Now's The Time＂ Nov. 26, 1945.wav",258.3984375,2.7227276230243245,2.0951485609797107,1.2995391705069124,2.995242946378741,4.914893617021277,5.0,2.928618871471585,4.453763727697622
"Miles Davis- May 3, 1952 Birdland, New York City.wav",224.69429347826087,3.6605708851148466,1.8550335702345666,1.9733178654292343,3.3848244834995156,5.576819407008086,6.0,3.41446453341221,4.786504799513246
Charlie Parker on Slim's Jam.wav,215.33203125,4.155638771212481,1.755176623866141,2.3676470588235294,3.2422826363867285,6.818181818181818,7.0,2.913977073182752,5.589275444992848
"Charlie Parker on Embraceable You 1 - October 28, 1947.wav",258.3984375,3.0569534231575997,2.0665629008590916,1.4792452830188678,3.078419507907697,5.7,6.5,2.7511894468399487,4.102144098748428
Charlie Parker Quartet at Storyville - I'll Walk Alone.wav,224.69429347826087,3.540971583064887,1.7440606304647952,2.0303030303030303,3.6470197537772666,5.2025316455696204,6.0,3.201181726966076,5.161446749156548
"Lester Leaps In (Live At Carnegie Hall, New York ⧸ 1949).wav",258.3984375,3.1314279527985276,2.10701526469633,1.4861913937058446,3.1730979448914787,6.034883720930233,6.0,3.3625557497849607,4.294014705688751
"WNEW All-Star Jam Session June, 1940.wav",369.140625,2.7336036345762076,3.1056703593945785,0.8801976121860848,3.246053794128341,4.796875,4.5,3.457226847308199,4.495780290904
