Title,Description,Published Date,Video URL
Charlie Parker - Celebrity (&amp; Buddy Rich). [Live 1950],,2016-03-29T03:17:17Z,https://www.youtube.com/watch?v=YGo0sJJJ46I
"Charlie Parker &amp; Dizzy Gillespie, &quot;Hot House&quot; at DuMont Television, February 24, 1952 (in color)","Broadcasted on the Earl Wilson Show 'Stage Entrance' on February 24 (or 25?), 1952. Charlie Parker Plays with Dizzy Gillespie ...",2021-02-18T23:14:35Z,https://www.youtube.com/watch?v=4PiKHAEcEvM
Charlie Parker and Coleman Hawkins 1950,"Charlie Parker (alto), Coleman Hawkins (tenor), Hank Jones (piano), Ray Brown (bass), Buddy Rich (drums)",2013-08-13T19:19:06Z,https://www.youtube.com/watch?v=stpH4ywM0R8
CHARLIE PARKER LIVE AT THE FINALE CLUB 1946 FULL ALBUM,bird and miles and other assorted celebrities rare live album.After this bird ended up at the Camarillo..,2014-08-30T08:54:20Z,https://www.youtube.com/watch?v=C14KfysnCz0
"Charlie Parker with Miles Davis- December 11, 1948 Royal Roost, New York City","December 11, 1948 Royal Roost, New York City, New York Charlie Parker Quintet Miles Davis- trumpet; Charlie Parker- alto ...",2015-12-11T18:30:46Z,https://www.youtube.com/watch?v=VInmvMEEb-w
Charlie Parker and Dizzy Gillespie - Hot House - 1951 - LIVE!,"Charlie Parker, vulgo Bird, era um gênio, considerado o maior saxofonista da história do Jazz. Dizzy Gillespie também nao fica ...",2016-02-18T22:14:06Z,https://www.youtube.com/watch?v=ejlsnuKyJEA
Charlie Parker. Live At Christy&#39;s.,"CP Records P10-402. Charlie Parker Live at Christy's. Including Wardell Gray, Richard Twardzik, Charles Mingus and Roy ...",2015-11-16T09:06:25Z,https://www.youtube.com/watch?v=kIEBZxjMH50
"Charlie Parker - Don&#39;t Blame Me, Montréal, 1953. (solo transcription)","Don't Blame Me (Recorded live at CBC Studios, Dorchester Blvd., Montréal, February 5, 1953) · Charlie Parker · Charlie Parker ...",2024-12-21T13:24:15Z,https://www.youtube.com/watch?v=inYto6U0mm4
Charlie Parker - Bird with strings 2019,"На днях увидел интересный концерт Bird with strings посвященный Чарли Паркеру (Charlie Parker)! Думаю что все знают, ...",2020-03-23T15:52:32Z,https://www.youtube.com/watch?v=Nwu6RzNtINw
Charlie PARKER &amp; His Trio &quot; Celebrity &quot; !!!,"RARE OLDIES VIDEO WITH MR CHARLIE PARKER & HIS TRIO : Hank JONES (p) , Ray BROWN (b) , Buddy RICH (d) . Charles ...",2010-11-29T12:02:36Z,https://www.youtube.com/watch?v=SMGUraoYjaY
