Title,Description,Published Date,Video URL
African American Experience in Missouri Lecture Series - Chuck Haddix,"Early Bird: Charlie Parker's Life and Music in Kansas City Presented by CHUCK HADDIX, Jazz Historian, Curator, and Radio Host ...",2019-12-21T17:00:08Z,https://www.youtube.com/watch?v=kQ9WQMqq9so
Charlie Parker (Tenor sax) on Sweet Georgia Brown,forget when the part says Eb Alto sax. This is Bb Tenor sax) Transcription Rémi Bolduc www.remibolduc.com Charlie Parker ...,2020-04-08T21:12:40Z,https://www.youtube.com/watch?v=Xav1dCwRZbk
"Charlie Parker &quot;Now&#39;s The Time&quot; Nov. 26, 1945","Charlie Parker's Rebopper's November 26, 1945 Savoy Records NYC Miles Davis - trumpet Charlie Parker - alto sax Dizzy ...",2010-03-30T19:53:57Z,https://www.youtube.com/watch?v=5zsLwXUraNE
"Charlie Parker  - Thriving from a Riff, Take 1 (Dizzy -  piano), November 26th, 1945","On November 26th, 1945, Charlie Parker (Bird) entered WOR Studios in New York City, accompanied by Miles Davis (trumpet), ...",2024-05-09T08:58:48Z,https://www.youtube.com/watch?v=cnrshC_6o4M
Charlie Parker&#39;s Reboppers,KO KO.,2012-12-12T21:21:07Z,https://www.youtube.com/watch?v=wriH_hlk4Lc
Charlie Parker&#39;s Ree-Boppers - Billie&#39;s Bounce - 1945,"A jazz classic, Charlie Parker's Ree-Boppers play ""Billie's Bounce"" Recorded for Savoy on 26 November 1945.",2017-01-29T01:25:45Z,https://www.youtube.com/watch?v=HVt4792iqcM
Charlie Parker on Thrivin&#39; From A Riff (take 1),"Transcription : Rémi Bolduc www.remibolduc.com Charlie Parker solo on Alto Sax November 26, 1945 WOR Studios, New York ...",2020-05-16T00:50:52Z,https://www.youtube.com/watch?v=UWYqGq5kuFI
Charlie Parker on Billie&#39;s Bounce Take 4,"Transcription : Rémi Bolduc www.remibolduc.com Charlie Parker solo on Alto Sax November 26, 1945 WOR Studios, New York ...",2020-05-13T13:25:40Z,https://www.youtube.com/watch?v=QqyOTpNosfs
Charlie Parker - Now&#39;s The Time (1945),"Although Parker was capable of writing intricate bebop melody lines, he sometimes stepped back from his more progressive ...",2021-06-21T19:04:03Z,https://www.youtube.com/watch?v=oC6icDLa3fU
Billies Bounce Charlie Parker 1945,Billies Bounce Charlie Parker (Charley Parker's Ree Boppers) Charlie Parker - alto Miles Davis - trumpet Curley Russell - bass ...,2013-04-12T19:35:49Z,https://www.youtube.com/watch?v=E7HAAlzGuMU
Charlie Parker on Billie&#39;s Bounce Take 3,"Transcription : Rémi Bolduc www.remibolduc.com Charlie Parker solo on Alto Sax November 26, 1945 WOR Studios, New York ...",2020-05-10T20:47:07Z,https://www.youtube.com/watch?v=fGqbu7zcAxQ
Charlie Parker - 1945 - Now&#39;s The Time - Samplitude Pro X6.,"""Now's the Time"" is a composition by Charlie Parker. He led the first recording of it, on November 26, 1945. Background and ...",2021-09-19T15:23:18Z,https://www.youtube.com/watch?v=EFLp8nSiQf0
"Charlie Parker on Salt Peanuts jan. 24, &#39;46","Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo January 24, 1946 Billy Berg's, Hollywood, California ...",2020-06-03T20:26:29Z,https://www.youtube.com/watch?v=cpV8NgUZFtc
Charlie Parker &amp; Miles Davis at The Finale Club in Bronzeville/Little Tokyo,"In March 1946, an important moment in jazz history took place when Miles Davis and Charlie Parker, two all-time jazz greats, ...",2020-11-09T07:20:04Z,https://www.youtube.com/watch?v=qeGzkJUhP88
"Charlie Parker on Big Noise - March 11, 1947","Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 11, 1947 at the Hi-De-Ho Club, Los Angeles, ...",2021-07-14T14:33:55Z,https://www.youtube.com/watch?v=IRXshP2nz-o
"Charlie Parker on Diggin&#39; Diz Feb. 5, &#39;46","Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo February 5, 1946 Electro Broadcasting Studios ...",2020-06-10T13:00:21Z,https://www.youtube.com/watch?v=OgS9hVFUYao
"Charlie Parker with Miles Davis- December 12, 1948 Royal Roost, New York City","December 12, 1948 Royal Roost, New York City, New York Charlie Parker Quintet: Miles Davis (tpt); Charlie Parker (as, voc -1); ...",2015-12-12T15:47:46Z,https://www.youtube.com/watch?v=gyT2-YtASqc
"Miles Davis- May 2, 1952 Birdland, New York City","May 2, 1952 Birdland, New York City, New York Miles Davis Sextet: Miles Davis (tpt); Jackie McLean (as); Don Elliot (vb, ...",2016-05-02T16:10:00Z,https://www.youtube.com/watch?v=aWhOXYWALNI
Charlie Parker on Verve 6,Charlie Parker on Verve 6 Jam Blues (Mecury MGC601) What Is This thing Called Love (Mecury MGC602) 1952Norman Granz' ...,2020-10-04T13:00:54Z,https://www.youtube.com/watch?v=t6VO5QJnX3c
"Miles Davis- February 18, 1950 WNYC Studio, New York","February 18, 1950 WNYC Studio, New York City, New York Miles Davis Sextet: Miles Davis (tpt [out on -1]); J.J. Johnson (tb [out ...",2016-02-17T11:34:48Z,https://www.youtube.com/watch?v=nEE1DhHkS3I
"Miles Davis- May 3, 1952 Birdland, New York City","May 3, 1952 Birdland, New York City, New York Miles Davis Sextet: Miles Davis (tpt); Jackie McLean (as); Don Elliot (vb, ...",2016-05-02T23:27:31Z,https://www.youtube.com/watch?v=fL3EXgo5iB8
Charlie Parker (1946) FIRST RECORDING [YARDBIRD SUITE],"The first recording of ""Yardbird Suite"", featuring Charlie Parker - alto saxophone, Lucky Thompson - tenor saxophone, Miles Davis ...",2021-03-25T04:11:49Z,https://www.youtube.com/watch?v=S6SDQCxvUIU
Charlie Parker on Moose the Mooche take 3,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-17T14:22:07Z,https://www.youtube.com/watch?v=LTnpwlOrqLU
Charlie Parker on Moose the Mooche take 1,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-16T00:40:25Z,https://www.youtube.com/watch?v=M-ZdBlPXvSA
Charlie Parker on Yardbird Suite take 2,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-18T12:41:26Z,https://www.youtube.com/watch?v=I8gF_PtsPcs
Charlie Parker on Ornithology take 2,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-19T01:55:00Z,https://www.youtube.com/watch?v=NKFHey_MCuY
Charlie Parker on Yardbird Suite take 1,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-18T01:23:32Z,https://www.youtube.com/watch?v=bhZDjwMePe0
Charlie Parker on Moose the Mooche take 2,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-16T15:07:45Z,https://www.youtube.com/watch?v=d67w2JVS-j8
Charlie Parker (1946) [NIGHT IN TUNISIA],"One of Charlie Parker's most legendary legendary recordings of ""Night In Tunisia"", featuring Charlie Parker - alto saxophone, ...",2021-03-19T18:43:01Z,https://www.youtube.com/watch?v=BZIupPHnPOM
&quot;Ornithology&quot; - Charlie Parker Septet (1946),"In January 1946, Ross Russell, the owner of the Tempo Music Shop in Hollywood, founded Dial Records with business partner ...",2024-07-24T14:00:24Z,https://www.youtube.com/watch?v=KN6VREUNXAo
Charlie Parker on Night in Tunisia take 2 march &#39;46,"Transcription Rémi Bolduc www.remibolduc.com Charlie Parker Alto sax solo March 28, 1946 Radio Recorders Studios, ...",2020-06-24T03:26:43Z,https://www.youtube.com/watch?v=BloKOIR3rFY
Be-Bop (D 1024 A) / Howard McGhee Quintet,Be-Bop (D 1024 A) Howard McGhee Quintet Dial 1007 A Howard McGhee(tp) Charlie Parker(as) Jimmy Bunn(p) Bob ...,2018-02-08T02:31:27Z,https://www.youtube.com/watch?v=X3sdDUIZtYY
Lover Man - Charlie Parker - 1946,"Lover Man Jazz Charlie Parker Instrumental Writers: Jimmy Davis, Ram Ramirez, Jimmy Sherman Charlie Parker (Alto ...",2021-04-15T17:15:04Z,https://www.youtube.com/watch?v=t9hw4HNkby4
Thermodynamics (D 1026 C) / Howard McGhee Quintet,Thermodynamics (D 1026 C) Howard McGhee Quintet Dial 1020 B Howard McGhee(tp) Jimmy Bunn(p) Bob Kesterson(b) Roy ...,2018-02-08T02:34:38Z,https://www.youtube.com/watch?v=mn_XRdWdIPw
