Title,Description,Published Date,Video URL
"Dizzy Gillespie and his Orchestra, featuring Milt Jackson on vibraharp:  &quot;Things to Come&quot;  (1946)","Source: shellac MUSICRAFT 78, #447 (5611), recorded July 9, 1946 Tech data: mastered with AVA triple filter© process (no ...",2020-04-21T23:43:47Z,https://www.youtube.com/watch?v=4VyGWsUY8_s
"All Star jam session with Miles Davis- January 17, 1949  WPIX Studio, NYC","January 17, 1949 WPIX Studio, New York City, New York All-Star jam session: Miles Davis (tpt -1, 3, 5); Kai Winding (tb -1, 3, 5); ...",2016-01-17T10:59:50Z,https://www.youtube.com/watch?v=CfyBFm3_a6U
Norman Granz - Jazz at the Philharmonic - 1967 - London - Full,"Clark Terry - flugelhorn.... James Moody - flute, alto.... Zoot Sims - tenor.... Dizzy Gillespie - trumpet.... Coleman Hawkins - tenor.",2017-11-22T04:23:37Z,https://www.youtube.com/watch?v=Xv8PNMcEvps
Coleman Hawkins - Hawk&#39;s Tune (vinyl record Jazz at the Philharmonic),"From the vinyl LP ""The Coleman Hawkins Set Jazz at the Philharmonic"" Coleman Randolph Hawkins (November 21, 1904 – May ...",2022-05-09T19:00:07Z,https://www.youtube.com/watch?v=HgjVa5sOzDs
Coleman Hawkins - Rifftide (from vinyl LP &quot;The Coleman Hawkins Set Jazz at the Philharmonic&quot;),"From the vinyl LP ""The Coleman Hawkins Set Jazz at the Philharmonic"" Coleman Randolph Hawkins (November 21, 1904 – May ...",2022-08-03T20:00:10Z,https://www.youtube.com/watch?v=hwaZdeD91eI
3/3 Heute Nacht oder nie! /Tell me tonight - Jack Hylton &amp; his orchestra (1932),The third version of the song is a completely different one. Jack Hylton and his orchestra bring an up-tempo foxtrot version of the ...,2008-11-10T11:22:45Z,https://www.youtube.com/watch?v=ag5dxFh0M8g
"&quot;Max Roach Quartet&quot; live - Roma, 1978","Max Roach Quartet live in Roma, Cinema Araldo, November 11, 1978 Max Roach Quartet: Billy Harper (tenor sax), Cecil ...",2020-03-12T15:31:54Z,https://www.youtube.com/watch?v=6XoZkGJnAIU
"Miles Davis- February 21, 1953 Howard Theatre, Washington DC","February 21, 1953 Howard Theatre, Washington DC All-Star jam session: Miles Davis (tpt); Allen Eager (ts); Terry Swope (p); ...",2016-02-21T11:18:12Z,https://www.youtube.com/watch?v=2xe32L0SuMw
[1977]  Max Roach Quartet　テープＡ面,マックス・ローチ・クァルテット・ライブ ビリー・ハーパー：ts セシル・ブリッジウオーター：tp レジー・ワークマン：b ...,2021-06-11T06:10:44Z,https://www.youtube.com/watch?v=MS4ynkzV33k
"Gene Krupa Quartet 10/2/1955 &quot;Sing, Sing, Sing&quot; JATP Chicago-Eddie Shu, Bobby Scott, Whitey Mitchell","In my opinion, this Chicago performance was the greatest of all the Jazz At The Philharmonic Quartet performances. Recorded at ...",2020-07-31T04:00:56Z,https://www.youtube.com/watch?v=s6YQDmkAH1w
Philippe Brun Swing Band (1937): COLLEGE STOMP,"Philippe Brun And His Swing Band: College Stomp Swing SW 15 (Mx. No.: OLA 2308-1) Paris, December 28, 1937 Personnel as ...",2008-12-21T04:24:56Z,https://www.youtube.com/watch?v=TD6QqsZzxBA
Philippe Brun And His Swing Band   Gotta Date In Louisiana,"HI, we would like to present you something new musically speaking. Our tracks are not present in the YouTube library. Our music ...",2018-12-18T09:13:56Z,https://www.youtube.com/watch?v=r5P5UgYlZaE
"Guy Paquinet - From You - Paris, 04.03.1935","Patrick et son Orchestre (dir. Guy Paquinet) Alex Renard, Gaston Lapeyronnie, Nöel Chiboust (tp); Guy Paquinet, Pierre Deck, ...",2010-05-28T11:59:54Z,https://www.youtube.com/watch?v=0TeI8P0Y2Ig
Early Glenn Miller and his Orchestra NBC Broadcasts,Here are some selections of Glenn Miller's NBC radio broadcasts from the Paradise Restaurant in New York City and the ...,2017-11-10T16:31:35Z,https://www.youtube.com/watch?v=aep6ru59KXw
Glenn Miller Radio Broadcast from the Cafe Rogue 11/23/40,"A vintage Glenn Miller and his Orchestra Radio Show from the Cafe Rogue in New York City heard on NBC on November 23, ...",2017-07-24T02:55:00Z,https://www.youtube.com/watch?v=JlWlxxoG9cA
