Title,Description,Published Date,Video URL
I Waited For You / Dizzy Gillespie and his Orchestra,"I Waited For You Dizzy Gillespie and his Orchestra Musicraft 518 (5788) Dizzy Gillespie, Dave Burns, Elmon Wright, Matthew ...",2019-10-13T04:12:39Z,https://www.youtube.com/watch?v=r8FEA2Rt8Ao
"Dizzy Gillespie and his Orchestra, featuring Milt Jackson on vibraharp:  &quot;Things to Come&quot;  (1946)","Source: shellac MUSICRAFT 78, #447 (5611), recorded July 9, 1946 Tech data: mastered with AVA triple filter© process (no ...",2020-04-21T23:43:47Z,https://www.youtube.com/watch?v=4VyGWsUY8_s
There&#39;s Frost On The Moon / Art Shaw and his Orchestra,"There's Frost On The Moon Art Shaw and his Orchestra Vocal Chorus Peg LaCentra Brunswick 7771 (B 20169-1) Lee Castle, ...",2021-03-13T13:00:21Z,https://www.youtube.com/watch?v=U-mwD4w9uWs
The Skeleton In The Closet / Art Shaw and his Orchestra,"The Skeleton In The Closet Art Shaw and his Orchestra Brunswick 7771 (B 20166-1) Lee Castle, Zeke Zarchy(tp); Sonny Lee(tb); ...",2021-03-13T12:55:48Z,https://www.youtube.com/watch?v=bE_8l5zlkJ4
1941 GENE KRUPA Who BIG BAND JAZZ Instrumental - 78 RPM Record,"Gene Krupa And His Orchestra – Who Fox Trot - From ""Sunny"" Written by Otto Harbach, Oscar Hammerstein II and Jerome Kern ...",2022-12-02T10:30:10Z,https://www.youtube.com/watch?v=syZEKBKeVqg
Karl George Octet Baby It&#39;s Up To You (1945),I do not own the copyright to this recording. This video is for historical and educational purposes only. Karl George:Trumpet ...,2017-08-15T18:19:37Z,https://www.youtube.com/watch?v=hQzpxVNsX84
Grand Slam / Karl George Octet,Grand Slam Karl George Octet Melodisc M-111 (KM-1314) Karl George(tp); J.J. Johnson(tb); Rudy Rutherford(cl); Buddy Tate(ts); ...,2022-02-17T09:34:27Z,https://www.youtube.com/watch?v=_mTq8-PkfwE
Grand Slam / Karl George Octet,Grand Slam Karl George Octet Melodisc M-111 (KM-1314) Karl George(tp) J.J. Johnson(tb) Rudy Rutherford(cl) Buddy Tate(ts) ...,2018-03-18T01:38:19Z,https://www.youtube.com/watch?v=fdvB9CVQvDE
Peek-A-Boo / Karl George Octet,Peek-A-Boo Karl George Octet Melodisc M-112 (KM-1316) Karl George(tp) J.J. Johnson(tb) Rudy Rutherford(cl) Buddy Tate(ts) ...,2018-03-18T01:41:30Z,https://www.youtube.com/watch?v=fBzoNgELVFs
Baby It&#39;s Up To You / Karl George Octet,Baby It's Up To You Karl George Octet Melodisc M-111A (KM-1315) Karl George(tp) J.J. Johnson(tb) Rudy Rutherford(cl) Buddy ...,2018-03-18T01:39:43Z,https://www.youtube.com/watch?v=o8vKfMksvHg
