sid,title,group_name,datelocation,year,month,mid,name,year:1,nbr_sessions,instruments
R205676,,,"New York, July 21, 1955",1955,July,17102,Pearl Bailey,1955,56,vcl
R125552,,,"London, July 24, 1939",1939,July,73417,Alice Mann,1939,6,vcl
R79262,,,"San Francisco, 1946",1946,,93826,Saunders King,1946,15,"vcl,g"
R52760,,Gil Fuller And His Orchestra,"New York, July 11, 1949",1949,July,2525,Jimmy Heath,1949,194,as
R69265,,,"New York, March 10, 1937",1937,March,26569,Ruth Gaylor,1937,55,vcl
R43872,,,"Baden-Baden, October 27, 1953",1953,October,64050,Siegfried Achhammer,1953,36,
R67832,,,"Concert ""Elk's Auditorium"", Los Angeles, July 6, 1947",1947,July,16212,Sonny Criss,1947,74,as
R15556,,Rolf Billberg/Hacke Bjorksten Quintet,"Stockholm, March 28, 1955",1955,March,28982,Bosse Stoor,1955,10,d
R74462,,Bill Johnson And His Musical Notes,"New York, March 5, 1947",1947,March,90467,Mel Wettergreen,1947,1,
R146625,,,"New York, July 30, 1942",1942,July,13549,Harry Urbont,1942,9,
R126795,,Art Shaw And His Orchestra,"New York, October 30, 1936",1936,October,478,Tony Pastor,1936,224,"ts,vcl"
R146989,,Eddie Vinson And His Orchestra,"New York, April 16, 1947",1947,April,12653,Butch Ballard,1947,63,d
R92365,,,"Hollywood, CA, April 23, 1953",1953,April,18773,Bill Pyles,1953,6,g
R54260,,Karl George Octet,"Los Angeles, August 2, 1945",1945,August,13203,Shadow Wilson,1945,145,d
R126909,,Artie Shaw And His Orchestra,"Hollywood, CA, May 13, 1940",1940,May,12525,Jack Stacey,1940,65,
R49285,The Uncollected Shep Fields,Shep Fields And His New Music,"New York, 1942-44",1942,,68971,Ben Glassman,1942,7,
R68983,,Rosetta Howard Acc By The Harlem Hamfats,"New York, October 5, 1937",1937,October,76313,Fred Flynn,1937,24,d
R38730,,,"New York, October 14, 1951",1951,October,20449,Charlie Walp,1951,50,tp
R99547,1936,Russ Morgan And His Orchestra,"World transcriptions, New York, March 11, 1936",1936,March,39651,Phil Capicotto,1936,36,
R123683,,Jan Savitt And His Top Hatters,"New York, February 27, 1939",1939,February,88533,Johnny Watson,1939,57,"tb,arr"
R25709,,,"New York, November 20, 1939",1939,November,14872,Dizzy Gillespie,1939,522,
R132313,,,poss. 1954,1954,,8053,Muggsy Spanier,1954,219,cnt
R179966,Jerry Fielding And His Great New Orchestra,,"Hollywood, CA, c. 1953",1953,,43309,Maurice Harris,1953,20,
R49230,,,"Linden, N.J., November 29, 1949",1949,November,9570,"Mitchell ""Bootie"" Wood",1949,57,tb
R46902,,,"New York, January 10, 1946",1946,January,21588,Billy Strayhorn,1946,217,p
R65024,,Fletcher Henderson And His Orchestra,"Chicago, June 30, 1937",1937,June,2496,Emmett Berry,1937,170,
R136801,,,"Stockholm, March 22, 1954",1954,March,7697,Robert Edman,1954,57,
R179632,,Johnny Mercer with Freddie Slack And His Orchestra-1/Freddie Slack And His Orchestra-2,"Los Angeles, August 16, 1946",1946,August,10964,Ray Linn,1946,361,
R98283,,Thelonious Monk Trio,"New York, October 24, 1947",1947,October,30341,Thelonious Monk,1947,184,p
R32684,,,"Paris, July 5, 1945",1945,July,19621,Maurice Gladieu,1945,23,tb
R25596,,Red Callender Sextette,"Los Angeles, July 17, 1952",1952,July,4988,John Anderson,1952,106,tp
R126915,Feature Film: Second Chorus,,"Film soundtrack, Hollywood, CA, August, 1940",1940,August,39657,Bruce Squires,1940,66,
R126807,,Art Shaw And His New Music,"New York, August 4, 1937",1937,August,53798,Malcolm Crain,1937,16,tp
R63072,,Phil Harris And His Orchestra,"Los Angeles, December 17, 1936",1936,December,80885,Charles Bagby,1936,7,p
R96796,,Lucky Millinder And His Orchestra,"New York, February 15, 1949",1949,February,12834,Abdul Salaam,1949,11,
R55620,,Tyree Glenn/Don Byas And Their Orchestra,"Hilversum, Holland, February 17, 1947",1947,February,6873,Tyree Glenn,1947,309,
R13301,,Tex Beneke And His Orchestra,"New York, March 10, 1947",1947,March,5772,Conrad Gozzo,1947,554,
R129162,,Charlie Singleton And His Band,"New York, 1955",1955,,14809,Charlie Singleton,1955,23,ts
R111072,One Night Stand,Flip Phillips/Buddy Rich Trio,"Broadcast ""The Bandbox"", New York, January 19, 1953",1953,January,12858,Buddy Rich,1953,596,d
R148688,Stormy Weather,(Feature Film),"Pre-recordings, 20th Century Fox soundstage, Hollywood, CA, January 23, 1943",1943,January,12666,"Alton ""Slim"" Moore",1943,51,tb
R100205,,Bus Moten And His Men,"Kansas City, April, 1949",1949,April,38091,"Jim ""Daddy"" Walker",1949,8,g
R91680,,Tony Mason Med All Star Orchestra,"Stockholm, September 25, 1935",1935,September,4883,Thore Ehrling,1935,109,
R152919,,Paul Whiteman's Sax Soctette,"New York, April 7, 1939",1939,April,17079,Paul Whiteman,1939,174,dir
R27129,,,"AFRS Jubilee no. 203, Los Angeles, CA, July, 1946",1946,July,44424,Lucy Elliott,1946,7,vcl
R61663,,Lionel Hampton And His Orchestra,"New York, January 28, 1949",1949,January,54425,Jimmy Wormick,1949,36,tb
R121034,,Harry Roy And His Orchestra,"London, May 5, 1936",1936,May,8586,Stanley Black,1936,41,
R145762,,Sarah Vaughan Acc By Joe Lippman And His Orchestra,"New York, December 21, 1949",1949,December,4514,Taft Jordan,1949,379,tp
R94337,,,"Los Angeles, December, 1947",1947,December,75164,Gene Phillips,1947,34,
R91177,,,"Milan, May & June 1945",1945,May,103571,Bruno Martelli,1945,1,"ts,dir"
R2098,,,"Buenos Aires, September 7, 1943",1943,September,5190,Oscar Aleman,1943,78,"g,vcl"
R44223,,Thore Ehrlings Dixie Seven,"Stockholm, March 28, 1941",1941,March,271,Thore Jederby,1941,234,b
R45847,New Counterpoint for Six Valves,Don Elliott-Rusty Dedrick Combo,"New York, March 16-17, 1955",1955,March,7083,Mundell Lowe,1955,361,g
R38368,,Michel De Villers Et Son Quintette,"Paris, March 12, 1948",1948,March,9572,Andre Persiany,1948,135,p
R199853,Trumpeter,,"Rembrandt Theater, Eindhoven, May 21, 1953",1953,May,185878,Tonny Nusser,1953,1,d
R107349,,"Oran ""Hot Lips"" Page & Andre Reweliotty's Orchestra","Live ""New Orleans Club"", Knokke-Le-Zoute, Belgium, July, 1952",1952,July,23401,Jean-Louis Durand,1952,43,tb
R104823,,,"London, November 3, 1943",1943,November,34133,Pat Dodd,1943,117,p
R129095,,The X-Rays/Hal Singer Sextet,"New York, December 10, 1948",1948,December,997,Hal Singer,1948,92,ts
R72957,,Jazz At The Philharmonic,"Carnegie Hall, New York, September 18, 1949",1949,September,21492,Lester Young,1949,303,ts
R133710,,,"Basel, Switzerland, c. June 1940",1940,June,27523,"Paul ""Polly"" Guggisberg",1940,50,d
R117723,,,"AFRS Magic Carpet ""Aquarium Restaurant"", New York, August 9, 1946",1946,August,20450,Earl Swope,1946,113,
R150530,,Chick Webb And His Little Chicks,"New York, November 1, 1937",1937,November,17096,Beverly Peer,1937,132,b
R68950,,,"New Orleans, September 23, 1950",1950,September,19116,"Avery ""Kid"" Howard",1950,58,
R76336,,Oscar Joost Tanz/Orchester,"Berlin, February 1936",1936,February,91409,Paul Thiel,1936,16,tp
R183982,,,"Concert ""Taj Mahal Hotel"", Bombay, India, August 4, 1953",1953,August,2378,Victor Feldman,1953,398,vib
R135440,,,"WMGM Broadcast ""Stuyvesant Casino"", New York, February 15, 1952",1952,February,8060,George Wettling,1952,333,d
R44811,,Duke Ellington And His Orchestra,"New York, August 19, 1935",1935,August,9761,Johnny Hodges,1935,997,"as,sop"
R7056,,,"Live ""Trianon Ballroom"", South Gate, CA, July/August 1945",1945,July,14904,Carl Sieman,1945,1,p
R4809,,Ray Anthony And His Orchestra,"Hollywood, CA, September 7, 1951",1951,September,10844,Anthony Choir,1951,83,vcl
R172547,,,"Live ""Carnegie Hall"", New York, June 3, 1946",1946,June,2611,Al McKibbon,1946,230,b
R55591,,Lloyd Glenn And His Joy Makers,"Los Angeles, December 26 or 27, 1947",1947,December,44402,Jake Porter,1947,40,tp
R32887,,Eddie Condon Blue Network Show 37 (AFRS 35),"Broadcast ""Ritz Theatre"", New York, February 3, 1945",1945,February,12592,Sidney Bechet,1945,287,sop
R78394,,Stan Kenton And His Orchestra,"Hollywood, CA, (2 - 5 PM), March 31, 1954",1954,March,4606,Bill Holman,1954,465,ts
R44908,,Duke Ellington And His Orchestra,"Live ""Crystal Ballroom"", Lake Inn, Fargo, North Dakota, November 7, 1940",1940,November,6406,Barney Bigard,1940,485,"cl,ts"
R44260,,,"Stockholm, September, 1949",1949,September,9631,Harry Arnold,1949,68,"ts,vcl"
R53208,Jazz And Hot Dance In Italy,,"Milan, Italy, February 13, 1946",1946,February,17348,Nino Culasso,1946,25,tp
R119873,The Band That Never Was,Gene Roland Orchestra,"New York, April 3, 1950",1950,April,4575,Al Cohn,1950,601,
R7068,,Georgie Auld And His Orchestra,"Los Angeles, March 21, 1949",1949,March,5787,Joe Mondragon,1949,479,b
R160146,,,"New York, July 29, 1940",1940,July,34183,Red Solomon,1940,39,
R78241,,Stan Kenton And His Orchestra,"MacGregor transcriptions, Hollywood, CA, late December 1945",1945,December,61217,Al Anthony,1945,29,
R105693,,,"Milan, June, 1948",1948,June,116220,Angelo Brigada,1948,2,
R146208,,Charlie Ventura And His Orchestra,"New York, August 16, 1954",1954,August,6743,Dave Mckenna,1954,216,p
R24495,,,"New York, April 29, 1941",1941,April,40975,Erskine Butterfield,1941,21,"p,vcl"
R133869,,Streichtanzorchester Adolf Steimel,"Berlin, March 23, 1944",1944,March,86605,Kurt Henneberg,1944,35,
