sid,title,group_name,datelocation,year,month,mid,name,year:1,nbr_sessions,instruments
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,11322,Jimmy Hamilton,NaN,692,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,118241,Harry Snivers,1961,1,oboe
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,118242,Dave Jackson,1961,1,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,12648,Ed Mullens,NaN,92,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,16358,Willie Cook,NaN,237,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,21588,Billy Strayhorn,NaN,217,p
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,2168,Oliver Nelson,NaN,242,as
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,2480,Max Roach,NaN,383,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,2495,Philly Joe Jones,NaN,250,perc
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,25700,Jimmy Johnson,NaN,76,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,2619,Les Spann,NaN,80,"fl,g"
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,2717,Sonny Greer,NaN,569,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,38,Clark Terry,NaN,918,tp
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,4306,Britt Woodman,NaN,398,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,5872,Lou Blackburn,NaN,79,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,6391,Murray McEachern,NaN,302,tb
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,6799,Russell Procope,NaN,679,"as,cl"
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,7355,Aaron Bell,NaN,204,b
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,771,Ray Nance,NaN,622,tp
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9063,"Arthur ""Babe"" Clarke",NaN,90,"ts,cl"
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9071,Cat Anderson,NaN,582,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9563,Paul Gonsalves,NaN,596,ts
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9758,Juan Tizol,NaN,583,v-tb
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9759,Lawrence Brown,NaN,762,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9761,Johnny Hodges,NaN,997,
R107859,,,"New York, May 1, 2 & 3, 1961",1961,May,9762,Harry Carney,NaN,1065,"bar,b-cl"
