sid,title,group_name,datelocation
R107816,,,"New York, November 12, 1949"
R107903,,,"private recording, Kansas City, MO, prob April/May, 1940"
R107904,,,"Kansas City, Missouri, September 1941/1942"
R107906,,Charlie Parker Solo On Home Acetate,"c. February, 1943"
R107907,,Charlie Parker Jam Session,"Room 305, Savoy Hotel, Chicago, Il., February 15, 1943"
R107908,,Charlie Parker Quintet,"private recording, Chicago, Il., February 28, 1943"
R107909,,Charlie Parker Jam Session,"Room 305, Savoy Hotel, Chicago, Il., February 28, 1943"
R107910,,Charlie Parker Jam Session,"Room 305, Savoy Hotel, Chicago, Il., February, 1943"
R107911,,,"Room 305, Savoy Hotel, Chicago, Il., February, 1943"
R107912,,,"Room 305, Savoy Hotel, Chicago, Il., February, 1943"
R107913,,Charlie Parker Sextet,"Lincoln Square Concert, New York, poss. May 30, 1945"
R164956,,,"Live ""Academy Of Music"", Philadelphia, PA, June 5, 1945"
R107914,,Charlie Parker's Reboppers,"New York, November 26, 1945"
R164958,,,"Radio broadcast ""Billy Berg's"", Hollywood, CA, December 17, 1945"
R107915,,Charlie Parker Quintet,"private recording, California, February 3, 1946"
R107916,,Charlie Parker Quintet,"Broadcast ""Finale Club"", Los Angeles, February/March, 1946"
R107917,,Charlie Parker With The Nat Cole Trio/Buddy Rich,"AFRS Jubilee 186, Los Angeles, March/April, 1946"
R107918,,Charlie Parker Septet,"Hollywood, CA, March 28, 1946"
R107919,,Charlie Parker Quintet,"Hollywood, CA, July 29, 1946"
R107920,,,"Live ""Chuck Kopely's"", Los Angeles, CA, February 1, 1947"
R107921,,Charlie Parker Quartet,"Live ""Chuck Kopely's"", Los Angeles, CA, February 1, 1947"
R107922,,Charlie Parker Quartet,"Hollywood, CA, February 19, 1947"
R107923,,Charlie Parker's New All Stars,"Hollywood, CA, February 26, 1947"
R107924,,Howard McGhee Quintet,"Live ""Hi-De-Ho Club"", Los Angeles, CA, March 1, 1947"
R107935,,Charlie Parker All Stars,"New York, May 8, 1947"
R107937,,A Nite At Carnegie Hall : Charlie Parker With The Dizzy Gillespie Quintet,"Broadcast ""Carnegie Hall"", New York, September 29, 1947"
R107938,,Charlie Parker Quintet,"New York, October 28, 1947"
R107939,,Charlie Parker Quintet,"New York, November 4, 1947"
R107940,,Charlie Parker Quintet,"Live ""Argyle Lounge"", Chicago, poss. November 11-23, 1947"
R107941,,,"Chicago *, either November 11-23, 1947 or January 3-6, 1948"
R107942,,,"Waukegan, IL., poss. November 1947 or October/November, 1948"
R107943,,Charlie Parker With Neal Hefti's Orchestra,"New York, December, 1947"
R107944,,Charlie Parker Quartet,"Recording session, Carnegie Hall, New York, December, 1947"
R107945,,Charlie Parker Sextet,"New York, December 17, 1947"
R107946,,Charlie Parker All Stars,"Detroit, December 21, 1947"
R107948,,Charlie Parker Quintet,"Live ""Three Deuces Club"", New York, March 31, 1948"
R107936,,,"Concert ""Washington Music Hall"", Washington, D.C., May 23, 1948"
R107949,,Charlie Parker Quintet,"Live ""Onyx Club"", New York, prob July 6, 1948"
R107953,,Charlie Parker Quintet,"Live ""Onyx Club"", New York, July 11, 1948"
R107954,,Charlie Parker Quintet,"Live ""Pershing Ballroom"", Chicago, August, 1948"
R107955,,Charlie Parker With Dizzy Gillespie And His Orchestra,"Live ""Pershing Ballroom"", Chicago, August, 1948"
R107956,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, September 4, 1948"
R107957,,Charlie Parker's All Stars,"New York, September 18, 1948"
R107958,,,"New York, September 18, 1948"
R107959,,Charlie Parker's All Stars,"New York, September 24, 1948"
R107960,,,"Live ""Pershing Ballroom"", Chicago, late 1948"
R107961,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, December 11, 1948"
R107962,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, December 12, 1948"
R107963,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, December 18, 1948"
R107964,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, December 25, 1948"
R107965,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, January 1, 1949"
R107966,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, January 15, 1949"
R107967,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, January 22, 1949"
R107968,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, January 29, 1949"
R107969,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, February 5, 1949"
R107970,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, February 12, 1949"
R107971,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, February 19, 1949"
R107972,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, February 26, 1949"
R107973,,Charlie Parker All Stars,"WMCA Broadcast ""Royal Roost"", New York, March 5, 1949"
R107974,,Charlie Parker All Stars,"Concert ""Waldorf Astoria"", New York, March 5, 1949"
R107975,,Charlie Parker All Stars,"Broadcast ""Royal Roost"", New York, March 12, 1949"
R107976,,Charlie Parker And His Orchestra,"New York, April, 1949"
R107977,,Charlie Parker And His Orchestra,"New York, May 5, 1949"
R107978,,Charlie Parker Quintet,"Concert ""Cinema Colisee"", Roubaix, France, May 12, 1949"
R107979,,Charlie Parker Quintet,"Concerts, ""Salle Pleyel"", Paris, May 8, 9, 14 & 15, 1949"
R107980,,Charlie Parker Quintet,"private recording ""Pershing Ballroom"", Chicago, IL, November, 1949"
R107982,,Charlie Parker With Strings,"New York, November 30, 1949"
R107983,,Charlie Parker Quintet,"V.O.A. Broadcast ""Carnegie Hall"", New York, December 25, 1949"
R107984,,Charlie Parker Quintet,"private recording ""Diplomat Hotel"", New York, 1949/1950"
R107985,,Charlie Parker Sextet,"private recording ""Birdland"", New York, February 14, 1950"
R107986,,Charlie Parker Quintet,"private recording ""St. Nicholas Arena"", New York, February 18, 1950"
R107987,,Charlie Parker Quartet,"New York, March-April 1950"
R107989,,Machito And His Afro-Cuban Orchestra featuring Charlie Parker,"Live ""The Renaissance Ballroom"", New York, May 19, 1950"
R107990,,Charlie Parker Quintet,"Broadcast ""Cafe Society"", New York, June/July, 1950"
